code,nav,navDate
DCDS,53499.83,2023-03-16
VCBFBCF,25262.78,2023-03-16
DCDS,52737.67,2023-03-17
DCDS,52644.66,2023-03-20
DCDS,51483.69,2023-03-21
VCBFBCF,24384.79,2023-03-21
DCDS,52086.95,2023-03-22
DCDS,52475.09,2023-03-23
VCBFBCF,24691.56,2023-03-23
DCDS,52750.24,2023-03-24
DCDS,52848.72,2023-03-27
DCDS,53162.89,2023-03-28
VCBFBCF,24939.55,2023-03-28
DCDS,53138.94,2023-03-29
DCDS,53281.24,2023-03-30
VCBFBCF,24977.52,2023-03-30
DCDS,53350.36,2023-03-31
DCDS,53653.34,2023-04-03
DCDS,54628.12,2023-04-04
VCBFBCF,25639.29,2023-04-04
DCDS,54719.93,2023-04-05
DCDS,54938.67,2023-04-06
VCBFBCF,25678.53,2023-04-06
DCDS,54148.94,2023-04-07
DCDS,54252.4,2023-04-10
DCDS,54103.74,2023-04-11
VCBFBCF,25386.73,2023-04-11
DCDS,54471.43,2023-04-12
DCDS,54593.28,2023-04-13
VCBFBCF,25467.52,2023-04-13
DCDS,54325.09,2023-04-14
DCDS,53294.63,2023-04-17
DCDS,53545.26,2023-04-18
VCBFBCF,25162.25,2023-04-18
DCDS,53819.33,2023-04-19
DCDS,53420.73,2023-04-20
VCBFBCF,25067.31,2023-04-20
DCDS,53306.93,2023-04-21
DCDS,53057.75,2023-04-24
DCDS,53063.0,2023-04-25
VCBFBCF,24990.71,2023-04-25
DCDS,52703.89,2023-04-26
DCDS,53081.64,2023-04-27
VCBFBCF,24901.86,2023-04-27
DCDS,53135.97,2023-04-28
DCDS,53772.17,2023-05-04
VCBFBCF,24938.29,2023-05-04
DCDS,53431.39,2023-05-05
DCDS,53337.63,2023-05-08
DCDS,53853.22,2023-05-09
VCBFBCF,25022.4,2023-05-09
VMEEF,9996.94,2023-05-09
DCDS,53901.98,2023-05-10
DCDS,54277.9,2023-05-11
VCBFBCF,25248.94,2023-05-11
VMEEF,10000.0,2023-05-11
DCDS,54350.87,2023-05-12
DCDS,54974.91,2023-05-15
DCDS,54596.33,2023-05-16
VCBFBCF,25515.99,2023-05-16
DCDS,54669.03,2023-05-17
DCDS,54096.77,2023-05-18
VCBFBCF,25453.44,2023-05-18
DCDS,54471.82,2023-05-19
DCDS,54710.55,2023-05-22
DCDS,55077.99,2023-05-23
VCBFBCF,25723.08,2023-05-23
DCDS,54927.43,2023-05-24
DCDS,54644.79,2023-05-25
VCBFBCF,25473.51,2023-05-25
DCDS,54610.51,2023-05-26
DCDS,54708.16,2023-05-29
DCDS,55418.75,2023-05-30
VCBFBCF,25653.36,2023-05-30
DCDS,56000.32,2023-05-31
VMEEF,10085.36,2023-05-31
DCDS,55818.26,2023-06-01
VCBFBCF,25633.15,2023-06-01
VMEEF,10041.77,2023-06-01
DCDS,56103.57,2023-06-02
VMEEF,10084.79,2023-06-02
DCDS,56720.56,2023-06-05
VMEEF,10244.83,2023-06-05
DCDS,56724.67,2023-06-06
VCBFBCF,26077.92,2023-06-06
VMEEF,10283.36,2023-06-06
DCDS,57389.23,2023-06-07
VMEEF,10404.76,2023-06-07
DCDS,57758.69,2023-06-08
VCBFBCF,26362.93,2023-06-08
VMEEF,10373.16,2023-06-08
DCDS,56881.42,2023-06-09
VMEEF,10240.63,2023-06-09
DCDS,57529.95,2023-06-12
VMEEF,10312.09,2023-06-12
DCDS,58016.52,2023-06-13
VCBFBCF,26423.07,2023-06-13
VMEEF,10373.1,2023-06-13
DCDS,58233.15,2023-06-14
VMEEF,10427.26,2023-06-14
DCDS,57776.78,2023-06-15
VCBFBCF,26379.99,2023-06-15
VMEEF,10397.72,2023-06-15
DCDS,57980.83,2023-06-16
VMEEF,10385.69,2023-06-16
DCDS,58061.72,2023-06-19
VMEEF,10403.84,2023-06-19
DCDS,57897.1,2023-06-20
VCBFBCF,26430.92,2023-06-20
VMEEF,10369.39,2023-06-20
DCDS,58622.47,2023-06-21
VMEEF,10411.32,2023-06-21
DCDS,59186.55,2023-06-22
VCBFBCF,26870.11,2023-06-22
VMEEF,10460.92,2023-06-22
DCDS,59638.01,2023-06-23
VMEEF,10518.79,2023-06-23
DCDS,59626.86,2023-06-26
VMEEF,10547.89,2023-06-26
DCDS,59755.59,2023-06-27
VCBFBCF,27163.73,2023-06-27
VMEEF,10570.99,2023-06-27
DCDS,59918.8,2023-06-28
VMEEF,10596.28,2023-06-28
DCDS,60022.24,2023-06-29
VCBFBCF,27366.71,2023-06-29
VMEEF,10629.84,2023-06-29
DCDS,59027.43,2023-06-30
VMEEF,10484.89,2023-06-30
DCDS,59090.99,2023-07-03
VMEEF,10467.43,2023-07-03
DCDS,59321.02,2023-07-04
VCBFBCF,27101.39,2023-07-04
VMEEF,10483.51,2023-07-04
DCDS,59943.13,2023-07-05
VMEEF,10570.07,2023-07-05
DCDS,60121.27,2023-07-06
VCBFBCF,27354.03,2023-07-06
VMEEF,10593.22,2023-07-06
DCDS,59624.64,2023-07-07
VMEEF,10509.61,2023-07-07
DCDS,60527.34,2023-07-10
VMEEF,10626.07,2023-07-10
DCDS,61102.02,2023-07-11
